Top1	Top2	Top3	Top4	Top5	Top6	Top7	Top8	Top9	Top10	Top11	Top12	Top13	Top14	Top15	TA
0.1680005988	0.0001706645	0.0241227895	0.2001354461	0.0021477507	0.2300750857	0.0001994539	0.0001330858	8.54015606193e-05	0.3621331682	0.0022177029	0.0001107463	0.0001444745	0.0101071248	0.0002165067	Solar Mounting/Rack
0.0003234983	0.0006871744	0.0005402768	0.1216641598	0.1454825885	0.2502641049	0.1859324618	0.000535865	0.0083929692	0.0012280632	0.1779606602	0.0004459159	0.0005817213	0.0245977551	0.0813627856	Solar Invertor
4.58149603834e-05	0.6396049038	7.65158979094e-05	0.1141255939	8.47949970673e-05	0.0001050724	0.000113737	7.58910818571e-05	4.86995382971e-05	0.1563460064	0.0001246847	6.31521737493e-05	8.23854072906e-05	6.37937724565e-05	0.0890389541	Solar Mounting/Rack
8.73257905292e-05	0.0001854973	0.0001458434	0.0002504024	0.0001616238	0.0002002736	0.0002167888	0.4803315681	9.28239519277e-05	0.0003315059	0.5173620263	0.0001203715	0.000157031	0.0001215944	0.0002353236	Solar Invertor
7.06042778782e-05	0.0001499775	0.0001179167	0.0002024543	0.0001306754	0.0054321328	0.0001752772	0.2197089724	7.50496280188e-05	0.0037815001	0.5728881329	9.73222193514e-05	0.1968814107	9.83109709083e-05	0.0001902629	Solar Invertor
5.12479977029e-05	0.0001088609	8.55896529753e-05	0.0001469511	9.48505418002e-05	0.3137980396	0.0447565651	0.023037123	5.4474647711e-05	0.0001945475	0.0001394706	7.06411710968e-05	0.6172521773	7.13588547703e-05	0.000138102	Solar Invertor
9.54107930775e-05	0.064299537	0.0144030942	0.415716233	0.0001765877	0.0002188158	0.0002368601	0.0001580451	0.000101418	0.4395444253	0.0002596589	0.000131516	0.0001715697	0.0001328521	0.0643539765	Solar Mounting/Rack
0.1180518446	0.0001831101	0.0623440327	0.1289369719	0.0001595439	0.0001976963	0.0388209365	0.000142791	9.16294024221e-05	0.0303548579	0.0002345973	0.0001188224	0.0001550102	0.4505343012	0.1696738546	Solar Monitoring
5.91701754101e-05	0.0001256892	9.88205394718e-05	0.1150043257	0.5448380196	0.0001357013	0.0001468917	9.80135874389e-05	6.28956174865e-05	0.3285339648	0.0001610306	0.0103872357	0.000106401	8.2389871665e-05	0.0001594505	Solar Mounting/Rack
4.67747291761e-05	0.029194925	0.0047334094	0.5052331532	0.2386702141	0.0001072735	0.1525768864	7.74809095334e-05	4.97197355576e-05	0.0001775661	0.0001272966	0.0687300113	8.41112833413e-05	6.51301759251e-05	0.0001260475	Solar Mounting/Rack
0.0229893198	0.0002787797	0.0002191849	0.0003763243	0.0002429009	0.0100973067	0.0003258071	0.000217395	0.0001395031	0.0004982129	0.1603637261	0.0001809036	0.1210572775	0.5226531372	0.1603602213	Solar Monitoring
4.9178606572e-05	0.2313714007	8.21335478258e-05	0.767359899	9.1020482505e-05	0.0001127866	0.0001220873	8.14628589818e-05	5.22749646427e-05	0.0001866917	0.0001338388	6.77886847657e-05	8.84339852858e-05	6.84773884147e-05	0.0001325254	Solar Mounting/Rack
0.0001157438	0.0031257366	0.0088329258	0.0032117636	0.0002142204	0.0002654478	0.0002873375	0.2305816243	0.0001230313	0.0004393865	0.3631790846	0.0001595434	0.2161986625	0.0059209118	0.1673445802	Solar Invertor
0.0001476307	0.0039868608	0.0002465591	0.0004233238	0.000273237	0.1435958715	0.0003664975	0.0002445457	0.0001569257	0.0005604352	0.1436590686	0.0002034968	0.6908390958	0.0002055642	0.0150908877	Solar Invertor
